Loja,Item,Tamanho,Quantidade,Valor
Loja 9,Bermuda,P,9,54.4
Loja 9,Shorts,G,9,12.93
Loja 9,Calça Camuflada,GG,1,58.94
Loja 5,Vestido,GG,3,73.25
Loja 2,Macacão,P,2,31.35
Loja 10,Pijama,GG,2,83.62
Loja 5,Camiseta Mang Long,M,10,13.3
Loja 10,Top,EGG,3,39.82
Loja 7,Shorts Academia,EGG,6,31.98
Loja 3,Calça Fem,PP,7,42.12
Loja 6,Macacão,M,7,37.87
Loja 7,Shorts,P,1,13.51
Loja 7,Calça Masc,G,8,60.06
Loja 9,Jaqueta,PP,6,17.11
Loja 7,Moletom,EGG,6,77.2
Loja 7,Camiseta,PP,8,59.03
Loja 6,Blusa,G,10,19.36
Loja 1,Blazer,P,1,12.77
Loja 9,Shorts,M,8,59.73
Loja 2,Shorts Academia,G,3,32.5
Loja 2,Pijama,EGG,9,36.17
Loja 9,Camiseta Mang Long,M,4,18.59
Loja 1,Calça Skini,PP,7,86.58
Loja 1,Blusa,P,2,30.68
Loja 2,Calça Skini,PP,10,32.7
Loja 10,Calça Fem,PP,8,23.47
Loja 5,Bermuda,M,6,88.15
Loja 8,Camiseta Mang Long,P,3,46.28
Loja 3,Vestido,G,7,80.19
Loja 7,Blusa,GG,6,56.84
Loja 10,Top,PP,9,74.98
Loja 4,Camiseta Mang Long,G,7,12.74
Loja 10,Moletom,EGG,1,38.69
Loja 2,Regata,EGG,9,35.15
Loja 10,Jaqueta,G,4,88.55
Loja 6,Camiseta,P,1,15.96
Loja 7,Jaqueta,GG,1,29.45
Loja 4,Calça Camuflada,GG,4,91.94
Loja 6,Moletom,G,5,21.29
Loja 1,Calça Skini,M,8,93.22
Loja 6,Camiseta Mang Long,EGG,9,94.24
Loja 10,Legging,GG,1,36.07
Loja 9,Top,G,5,63.55
Loja 1,Jaqueta,M,9,33.87
Loja 9,Top,M,4,88.56
Loja 1,Regata,M,2,81.27
Loja 4,Calça Masc,G,3,82.98
Loja 9,Camiseta,P,6,94.58
Loja 9,Baby Look,M,8,11.81
Loja 7,Blazer,GG,6,64.69
Loja 9,Camiseta Mang Long,G,6,17.18
Loja 4,Calça Fem,PP,1,66.26
Loja 2,Camiseta,EGG,7,42.05
Loja 9,Vestido,EGG,2,46.36
Loja 3,Shorts Academia,EGG,3,84.77
Loja 1,Baby Look,M,8,11.36
Loja 10,Vestido,PP,7,13.79
Loja 6,Baby Look,PP,10,41.21
Loja 7,Jaqueta,P,7,76.15
Loja 5,Pijama,P,3,97.16
Loja 8,Calça Masc,P,3,64.56
Loja 5,Blusa,PP,5,40.26
Loja 4,Calça Camuflada,EGG,9,82.27
Loja 9,Calça Masc,M,4,32.12
Loja 8,Macacão,G,10,41.18
Loja 9,Macacão,GG,7,54.28
Loja 1,Blusa,EGG,1,32.05
Loja 8,Calça Masc,EGG,2,13.1
Loja 8,Pijama,M,9,31.51
Loja 3,Pijama,M,8,60.09
Loja 10,Camiseta Mang Long,M,10,49.56
Loja 2,Pijama,M,10,40.95
Loja 6,Regata,M,2,37.92
Loja 6,Blusa,G,2,73.8
Loja 4,Pijama,EGG,1,73.25
Loja 6,Top,EGG,10,49.17
Loja 7,Calça Fem,GG,5,77.84
Loja 10,Blazer,EGG,10,89.71
Loja 8,Shorts,P,7,12.11
Loja 2,Top,M,5,42.59
Loja 3,Calça Camuflada,EGG,9,96.62
Loja 2,Calça Masc,GG,9,55.13
Loja 3,Shorts,PP,1,11.98
Loja 10,Pijama,M,1,44.82
Loja 2,Camiseta Mang Long,G,9,47.64
Loja 7,Baby Look,P,6,17.08
Loja 8,Camiseta Mang Long,EGG,10,87.72
Loja 1,Shorts,P,4,29.81
Loja 5,Bermuda,G,2,22.72
Loja 8,Pijama,PP,10,63.79
Loja 6,Bermuda,PP,1,68.76
Loja 6,Calça Camuflada,EGG,1,97.81
Loja 5,Moletom,G,5,28.69
Loja 10,Camiseta Mang Long,G,7,79.88
Loja 9,Calça Fem,PP,6,43.13
Loja 3,Pijama,G,3,75.33
Loja 2,Moletom,M,6,65.87
Loja 7,Camiseta,G,6,48.64
Loja 9,Bermuda,GG,10,26.94
Loja 5,Top,M,8,99.52
Loja 10,Calça Masc,EGG,7,75.3
Loja 7,Calça Masc,G,7,37.64
Loja 1,Legging,PP,7,80.43
Loja 8,Regata,M,8,52.74
Loja 3,Calça Masc,P,7,46.83
Loja 10,Blazer,P,2,88.31
Loja 10,Legging,GG,9,93.54
Loja 3,Shorts,M,2,30.3
Loja 1,Regata,EGG,10,53.44
Loja 1,Blazer,G,9,28.8
Loja 8,Shorts,GG,8,63.9
Loja 2,Vestido,GG,6,59.7
Loja 4,Blusa,GG,5,90.32
Loja 7,Camiseta Mang Long,PP,1,60.74
Loja 5,Calça Fem,GG,2,74.85
Loja 5,Blusa,GG,5,52.51
Loja 5,Legging,M,2,50.9
Loja 2,Blazer,P,7,67.14
Loja 1,Top,PP,4,42.96
Loja 3,Calça Camuflada,GG,1,95.33
Loja 7,Jaqueta,P,8,65.89
Loja 5,Camiseta,P,6,89.39
Loja 5,Blusa,PP,6,69.85
Loja 4,Calça Camuflada,GG,10,77.23
Loja 4,Macacão,M,9,25.35
Loja 10,Bermuda,G,7,42.83
Loja 8,Camiseta,EGG,6,99.09
Loja 4,Bermuda,P,8,40.36
Loja 4,Macacão,PP,6,62.03
Loja 10,Regata,GG,7,25.12
Loja 9,Macacão,EGG,6,28.03
Loja 1,Blusa,M,8,31.33
Loja 1,Shorts Academia,P,5,57.41
Loja 6,Camiseta Mang Long,P,10,48.17
Loja 9,Top,P,8,72.83
Loja 6,Jaqueta,PP,9,48.82
Loja 3,Blusa,G,1,46.06
Loja 6,Calça Masc,GG,4,26.98
Loja 2,Pijama,GG,7,73.34
Loja 7,Pijama,P,2,89.77
Loja 10,Pijama,GG,3,88.26
Loja 6,Baby Look,GG,7,51.81
Loja 8,Pijama,G,4,76.06
Loja 6,Calça Camuflada,P,9,77.17
Loja 2,Calça Fem,M,7,55.32
Loja 10,Legging,P,8,48.23
Loja 7,Camiseta,GG,3,37.1
Loja 6,Jaqueta,P,5,31.54
Loja 7,Jaqueta,EGG,1,48.62
Loja 7,Camiseta,PP,8,33.73
Loja 2,Regata,G,7,52.63
Loja 8,Baby Look,M,2,68.67
Loja 4,Blusa,M,9,75.18
Loja 9,Top,G,8,68.69
Loja 4,Shorts,G,3,23.07
Loja 9,Blusa,M,5,98.67
Loja 10,Shorts Academia,P,9,79.55
Loja 9,Vestido,P,2,23.65
Loja 2,Pijama,G,4,26.65
Loja 10,Calça Masc,PP,5,48.01
Loja 7,Regata,G,9,91.72
Loja 6,Calça Skini,G,10,18.81
Loja 8,Macacão,EGG,4,45.73
Loja 1,Vestido,PP,4,65.53
Loja 1,Legging,P,3,41.9
Loja 6,Camiseta,G,2,51.34
Loja 6,Baby Look,EGG,2,25.9
Loja 5,Vestido,PP,2,46.78
Loja 4,Calça Fem,PP,3,87.02
Loja 9,Blazer,P,6,39.2
Loja 10,Bermuda,PP,1,11.72
Loja 6,Blusa,PP,5,19.81
Loja 3,Calça Skini,EGG,5,35.64
Loja 6,Legging,PP,2,88.05
Loja 3,Blusa,G,6,40.72
Loja 2,Shorts,EGG,8,84.91
Loja 5,Baby Look,GG,5,85.95
Loja 9,Shorts,EGG,10,64.26
Loja 3,Shorts Academia,G,5,47.3
Loja 9,Calça Fem,P,4,89.3
Loja 1,Shorts Academia,PP,3,53.7
Loja 3,Bermuda,PP,6,39.96
Loja 9,Calça Camuflada,M,1,32.73
Loja 5,Blazer,G,8,56.58
Loja 8,Calça Camuflada,G,7,48.66
Loja 1,Regata,P,2,65.32
Loja 3,Pijama,P,4,94.2
Loja 7,Blazer,M,7,71.49
Loja 7,Blusa,GG,3,15.0
Loja 10,Blusa,PP,10,61.11
Loja 5,Blazer,M,6,49.83
Loja 2,Vestido,G,7,39.15
Loja 10,Blusa,GG,8,19.2
Loja 9,Vestido,GG,9,88.99
Loja 6,Calça Camuflada,M,2,86.51
Loja 9,Calça Skini,M,5,50.47
Loja 2,Calça Fem,M,1,38.36
Loja 6,Pijama,G,5,72.67
Loja 3,Bermuda,G,4,40.68
Loja 8,Jaqueta,G,2,83.63
Loja 2,Bermuda,M,10,97.13
Loja 5,Calça Fem,P,9,16.59
Loja 9,Camiseta Mang Long,G,1,73.15
Loja 4,Baby Look,G,4,85.94
Loja 2,Regata,P,1,41.41
Loja 10,Blusa,G,8,36.64
Loja 6,Calça Camuflada,EGG,4,46.34
Loja 4,Calça Masc,M,7,28.67
Loja 8,Blazer,GG,7,27.9
Loja 10,Calça Masc,EGG,9,29.71
Loja 2,Shorts Academia,G,7,13.1
Loja 7,Macacão,PP,8,87.07
Loja 4,Moletom,GG,5,29.1
Loja 8,Baby Look,M,10,48.16
Loja 5,Baby Look,GG,2,93.99
Loja 3,Shorts Academia,GG,6,13.53
Loja 3,Regata,PP,8,97.74
Loja 7,Top,G,10,61.28
Loja 7,Calça Skini,EGG,2,67.81
Loja 1,Calça Fem,M,7,80.56
Loja 10,Blusa,GG,7,38.94
Loja 1,Bermuda,M,9,11.69
Loja 8,Camiseta,G,9,92.28
Loja 6,Pijama,G,10,47.07
Loja 5,Macacão,P,2,99.69
Loja 4,Calça Masc,G,4,90.19
Loja 1,Bermuda,PP,10,13.35
Loja 5,Blusa,PP,7,18.53
Loja 10,Top,EGG,3,90.7
Loja 3,Blusa,EGG,9,40.02
Loja 6,Baby Look,M,10,28.37
Loja 7,Jaqueta,M,3,26.6
Loja 5,Top,P,7,66.98
Loja 4,Macacão,PP,4,72.2
Loja 1,Blazer,PP,10,39.98
Loja 2,Pijama,GG,8,50.06
Loja 8,Shorts Academia,GG,10,79.68
Loja 8,Blusa,PP,2,22.65
Loja 7,Shorts,EGG,9,73.41
Loja 4,Camiseta Mang Long,GG,10,29.49
Loja 1,Blazer,G,6,92.01
Loja 3,Camiseta,EGG,1,79.83
Loja 8,Jaqueta,G,5,40.53
Loja 8,Jaqueta,G,2,14.15
Loja 6,Vestido,G,5,48.58
Loja 2,Calça Fem,M,3,86.54
Loja 10,Camiseta Mang Long,G,8,16.02
Loja 10,Jaqueta,P,6,93.54
Loja 8,Camiseta,GG,1,68.58
Loja 7,Calça Masc,GG,6,86.73
Loja 9,Calça Camuflada,M,3,45.37
Loja 1,Calça Skini,PP,7,77.21
Loja 10,Pijama,M,10,71.13
Loja 6,Calça Camuflada,GG,9,32.65
Loja 6,Bermuda,PP,2,50.74
Loja 10,Calça Fem,G,4,49.49
Loja 4,Moletom,P,1,75.54
Loja 7,Camiseta Mang Long,G,9,84.65
Loja 6,Calça Camuflada,G,5,31.56
Loja 10,Vestido,EGG,1,47.04
Loja 9,Shorts,P,4,86.29
Loja 6,Blusa,GG,10,76.22
Loja 6,Calça Fem,G,4,46.56
Loja 3,Vestido,GG,3,65.46
Loja 1,Moletom,M,6,58.61
Loja 7,Jaqueta,G,1,58.26
Loja 4,Macacão,GG,2,65.97
Loja 10,Baby Look,M,1,30.98
Loja 9,Macacão,PP,2,94.27
Loja 7,Moletom,GG,9,43.54
Loja 8,Legging,EGG,9,76.22
Loja 2,Pijama,EGG,1,39.97
Loja 1,Moletom,PP,4,35.93
Loja 2,Pijama,PP,6,93.69
Loja 4,Calça Fem,EGG,5,56.48
Loja 10,Shorts Academia,EGG,9,30.6
Loja 5,Baby Look,M,3,70.02
Loja 3,Bermuda,M,6,99.34
Loja 5,Calça Masc,EGG,4,64.09
Loja 10,Calça Fem,G,5,95.35
Loja 3,Calça Fem,G,2,64.6
Loja 6,Top,GG,10,25.62
Loja 6,Calça Skini,PP,5,78.28
Loja 7,Vestido,GG,7,32.32
Loja 4,Blusa,G,9,13.97
Loja 5,Calça Masc,GG,5,86.3
Loja 9,Blusa,GG,4,13.39
Loja 2,Camiseta Mang Long,M,3,93.76
Loja 4,Bermuda,G,6,29.47
Loja 7,Baby Look,GG,1,96.46
Loja 2,Calça Skini,M,1,22.41
Loja 8,Baby Look,P,8,53.07
Loja 10,Camiseta Mang Long,GG,5,70.92
Loja 5,Camiseta,M,8,72.9
Loja 5,Top,EGG,3,80.95
Loja 2,Camiseta,GG,6,99.8
Loja 1,Calça Skini,G,6,95.66
Loja 3,Calça Skini,PP,10,32.5
Loja 8,Calça Masc,G,5,96.99
Loja 5,Regata,M,10,63.55
Loja 1,Pijama,M,9,29.55
Loja 2,Shorts,GG,3,67.97
Loja 6,Top,G,6,27.49
Loja 9,Vestido,PP,2,43.81
Loja 9,Macacão,P,10,35.04
Loja 9,Baby Look,PP,8,81.72
Loja 4,Calça Masc,PP,7,44.63
Loja 5,Macacão,EGG,6,50.29
Loja 10,Shorts Academia,M,4,75.74
Loja 5,Macacão,P,4,74.42
Loja 4,Top,G,3,40.75
Loja 10,Pijama,GG,2,87.22
Loja 4,Shorts Academia,P,3,31.05
Loja 7,Blazer,M,4,34.79
Loja 9,Moletom,GG,8,46.3
Loja 9,Camiseta,G,10,46.72
Loja 5,Camiseta,M,2,92.06
Loja 5,Top,EGG,7,40.62
Loja 9,Jaqueta,G,4,91.97
Loja 9,Blazer,M,8,39.78
Loja 5,Shorts,P,2,18.91
Loja 8,Calça Camuflada,PP,6,14.81
Loja 7,Shorts Academia,EGG,6,97.96
Loja 3,Moletom,PP,2,61.12
Loja 6,Baby Look,P,6,50.71
Loja 3,Macacão,EGG,5,99.96
Loja 4,Macacão,GG,7,63.88
Loja 9,Calça Fem,GG,5,60.34
Loja 5,Vestido,EGG,10,10.98
Loja 6,Jaqueta,PP,9,63.56
Loja 7,Calça Masc,P,2,60.81
Loja 2,Legging,P,4,46.87
Loja 5,Calça Masc,M,5,45.4
Loja 8,Calça Fem,EGG,9,30.09
Loja 9,Vestido,GG,3,28.54
Loja 3,Shorts Academia,EGG,3,27.01
Loja 6,Macacão,P,1,66.83
Loja 1,Top,GG,8,69.34
Loja 1,Calça Masc,GG,10,90.53
Loja 7,Camiseta,P,4,15.98
Loja 2,Calça Skini,GG,7,12.84
Loja 4,Calça Fem,PP,7,90.06
Loja 10,Vestido,GG,2,65.55
Loja 4,Calça Skini,M,7,75.34
Loja 4,Regata,M,2,57.75
Loja 7,Calça Fem,EGG,6,95.93
Loja 5,Top,P,5,32.65
Loja 8,Macacão,P,9,28.59
Loja 10,Top,GG,4,21.35
Loja 2,Blusa,PP,8,13.19
Loja 9,Macacão,GG,1,98.26
Loja 4,Camiseta Mang Long,GG,5,94.34
Loja 7,Calça Fem,GG,3,86.76
Loja 7,Regata,PP,8,74.42
Loja 10,Jaqueta,EGG,3,94.12
Loja 5,Blusa,EGG,4,85.76
Loja 7,Camiseta,PP,10,20.39
Loja 6,Camiseta Mang Long,EGG,4,31.4
Loja 8,Top,EGG,4,58.42
Loja 3,Moletom,G,5,68.54
Loja 4,Regata,P,2,42.49
Loja 9,Moletom,M,10,62.19
Loja 6,Blusa,M,8,36.57
Loja 2,Legging,GG,8,11.64
Loja 10,Baby Look,G,1,78.95
Loja 5,Calça Fem,GG,5,97.15
Loja 2,Legging,EGG,3,58.01
Loja 9,Calça Skini,P,6,63.34
Loja 5,Moletom,P,3,72.74
Loja 5,Legging,GG,8,52.1
Loja 6,Legging,GG,8,93.15
Loja 7,Jaqueta,M,9,21.45
Loja 3,Regata,EGG,6,23.86
Loja 4,Moletom,G,10,69.25
Loja 2,Blazer,G,8,88.64
Loja 5,Moletom,G,5,63.13
Loja 4,Jaqueta,PP,6,87.05
Loja 7,Moletom,PP,5,45.44
Loja 5,Shorts Academia,GG,5,73.75
Loja 9,Legging,GG,10,52.96
Loja 1,Shorts Academia,P,8,56.72
Loja 5,Vestido,M,5,24.45
Loja 10,Calça Masc,M,2,56.5
Loja 9,Baby Look,PP,6,29.15
Loja 9,Vestido,GG,7,12.99
Loja 6,Macacão,G,5,66.19
Loja 4,Camiseta,PP,10,56.95
Loja 8,Camiseta Mang Long,M,9,74.77
Loja 4,Camiseta Mang Long,PP,4,33.7
Loja 4,Camiseta Mang Long,P,7,88.22
Loja 8,Camiseta Mang Long,EGG,6,60.35
Loja 2,Macacão,P,7,22.19
Loja 2,Shorts,PP,6,63.23
Loja 3,Regata,G,7,62.8
Loja 9,Calça Camuflada,G,10,93.07
Loja 9,Calça Skini,P,4,49.46
Loja 1,Jaqueta,M,9,17.54
Loja 2,Pijama,EGG,5,52.76
Loja 4,Jaqueta,GG,7,12.63
Loja 1,Calça Fem,M,4,51.98
Loja 9,Jaqueta,P,10,71.83
Loja 1,Calça Masc,G,6,69.55
Loja 3,Pijama,GG,4,28.63
Loja 7,Moletom,P,4,18.12
Loja 3,Blazer,PP,3,82.83
Loja 8,Calça Skini,EGG,3,65.2
Loja 2,Calça Camuflada,M,3,40.74
Loja 9,Legging,PP,2,76.66
Loja 2,Calça Fem,GG,10,71.78
Loja 6,Macacão,G,5,55.31
Loja 10,Macacão,M,3,35.83
Loja 7,Camiseta Mang Long,PP,8,57.41
Loja 9,Calça Fem,EGG,5,49.28
Loja 8,Shorts Academia,EGG,8,13.86
Loja 1,Pijama,EGG,1,21.61
Loja 5,Blazer,PP,7,77.81
Loja 7,Pijama,G,8,68.94
Loja 6,Bermuda,GG,6,12.05
Loja 5,Moletom,EGG,9,46.58
Loja 6,Legging,PP,1,38.05
Loja 10,Calça Camuflada,GG,9,75.62
Loja 6,Calça Fem,G,2,69.88
Loja 8,Baby Look,EGG,4,55.34
Loja 8,Jaqueta,GG,9,18.61
Loja 7,Regata,G,5,97.38
Loja 8,Pijama,EGG,2,47.23
Loja 4,Blusa,EGG,1,73.69
Loja 10,Calça Masc,G,9,39.83
Loja 7,Regata,GG,7,42.09
Loja 8,Calça Fem,PP,6,67.99
Loja 2,Moletom,G,1,76.06
Loja 8,Calça Fem,EGG,6,91.63
Loja 5,Macacão,P,1,92.58
Loja 10,Shorts Academia,P,5,34.28
Loja 5,Moletom,G,9,86.31
Loja 3,Shorts Academia,PP,10,21.73
Loja 7,Camiseta,GG,7,46.16
Loja 6,Vestido,P,2,93.69
Loja 4,Legging,G,9,77.79
Loja 1,Baby Look,G,5,83.69
Loja 6,Blusa,EGG,10,35.13
Loja 5,Legging,GG,2,25.1
Loja 6,Legging,EGG,2,59.35
Loja 1,Calça Camuflada,G,3,25.0
Loja 9,Macacão,GG,6,53.12
Loja 5,Moletom,P,10,64.49
Loja 3,Top,EGG,10,18.57
Loja 5,Legging,P,3,45.23
Loja 8,Camiseta Mang Long,G,4,81.92
Loja 10,Calça Fem,P,9,40.95
Loja 8,Camiseta,P,3,27.6
Loja 6,Calça Fem,EGG,5,99.79
Loja 6,Moletom,P,1,11.38
Loja 6,Shorts Academia,M,8,58.69
Loja 3,Camiseta Mang Long,G,3,73.3
Loja 9,Regata,EGG,5,12.31
Loja 9,Shorts,G,4,66.86
Loja 8,Regata,GG,8,59.97
Loja 2,Blazer,PP,2,54.05
Loja 1,Calça Camuflada,EGG,2,43.39
Loja 7,Calça Fem,G,1,63.59
Loja 3,Pijama,PP,2,29.04
Loja 2,Blusa,G,7,51.79
Loja 8,Baby Look,EGG,7,56.71
Loja 5,Blazer,G,3,52.26
Loja 10,Blazer,P,9,23.04
Loja 1,Blusa,P,2,95.31
Loja 7,Regata,P,5,78.26
Loja 6,Calça Skini,M,3,17.51
Loja 4,Calça Skini,G,1,75.79
Loja 1,Jaqueta,P,6,44.19
Loja 1,Baby Look,GG,3,44.48
Loja 1,Moletom,PP,6,82.92
Loja 5,Baby Look,M,2,46.49
Loja 8,Bermuda,P,1,73.46
Loja 4,Calça Skini,P,5,40.81
Loja 7,Legging,P,6,23.08
Loja 8,Shorts,M,9,58.07
Loja 1,Jaqueta,PP,9,38.05
Loja 3,Vestido,PP,8,37.01
Loja 7,Legging,PP,6,37.62
Loja 6,Calça Fem,G,1,24.05
Loja 9,Blusa,PP,6,71.57
Loja 1,Moletom,P,10,21.82
Loja 2,Shorts Academia,PP,10,76.28
Loja 6,Shorts Academia,EGG,2,78.6
Loja 1,Pijama,GG,6,40.22
Loja 4,Calça Skini,EGG,1,62.98
Loja 10,Pijama,G,7,90.38
